danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.0918,0.944,10,-19.122,0,0.135,0.0119,0.995,0.364,0.0234,87.791,audio_features,67P3hjyYGjth8lNBl1gDsI,spotify:track:67P3hjyYGjth8lNBl1gDsI,https://api.spotify.com/v1/tracks/67P3hjyYGjth8lNBl1gDsI,https://api.spotify.com/v1/audio-analysis/67P3hjyYGjth8lNBl1gDsI,240708,3
0.0806,0.436,1,-29.313,1,0.0695,0.00781,0.977,0.372,0.0313,83.925,audio_features,7jV5HQ9V02hy2r0WjZDGnl,spotify:track:7jV5HQ9V02hy2r0WjZDGnl,https://api.spotify.com/v1/tracks/7jV5HQ9V02hy2r0WjZDGnl,https://api.spotify.com/v1/audio-analysis/7jV5HQ9V02hy2r0WjZDGnl,225141,1
0.122,0.448,8,-25.112,1,0.0871,0.00158,0.906,0.483,0.0391,97.48,audio_features,1gWCfhUtzEtOkWS5lM6zca,spotify:track:1gWCfhUtzEtOkWS5lM6zca,https://api.spotify.com/v1/tracks/1gWCfhUtzEtOkWS5lM6zca,https://api.spotify.com/v1/audio-analysis/1gWCfhUtzEtOkWS5lM6zca,102539,3
0.237,0.999,1,-13.356,1,0.123,0.349,0.97,0.722,0.0159,136.853,audio_features,2tameDUM4Zo3pLcEzg9OFU,spotify:track:2tameDUM4Zo3pLcEzg9OFU,https://api.spotify.com/v1/tracks/2tameDUM4Zo3pLcEzg9OFU,https://api.spotify.com/v1/audio-analysis/2tameDUM4Zo3pLcEzg9OFU,190000,3
0.32,0.207,1,-33.041,1,0.0866,0.0145,0.906,0.157,0.215,88.104,audio_features,1eAAKEMh69QfLafJAwgmXg,spotify:track:1eAAKEMh69QfLafJAwgmXg,https://api.spotify.com/v1/tracks/1eAAKEMh69QfLafJAwgmXg,https://api.spotify.com/v1/audio-analysis/1eAAKEMh69QfLafJAwgmXg,142122,3
0.164,0.912,1,-16.953,1,0.088,1.01e-05,0.988,0.42,0.0368,105.311,audio_features,3N96NGKoU8lgJs9ENxRUpc,spotify:track:3N96NGKoU8lgJs9ENxRUpc,https://api.spotify.com/v1/tracks/3N96NGKoU8lgJs9ENxRUpc,https://api.spotify.com/v1/audio-analysis/3N96NGKoU8lgJs9ENxRUpc,170000,4
0.436,0.481,8,-10.372,1,0.048,0.112,0.448,0.374,0.406,107.637,audio_features,3kO5SqEje4LhVZeD7XWNvr,spotify:track:3kO5SqEje4LhVZeD7XWNvr,https://api.spotify.com/v1/tracks/3kO5SqEje4LhVZeD7XWNvr,https://api.spotify.com/v1/audio-analysis/3kO5SqEje4LhVZeD7XWNvr,323250,4
0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,audio_features,1fDFHXcykq4iw8Gg7s5hG9,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,https://api.spotify.com/v1/tracks/1fDFHXcykq4iw8Gg7s5hG9,https://api.spotify.com/v1/audio-analysis/1fDFHXcykq4iw8Gg7s5hG9,326491,4
0.523,0.404,1,-10.465,1,0.0269,0.614,0.977,0.362,0.166,139.95,audio_features,6yH7PxOu4wtbm0E1Lelsoe,spotify:track:6yH7PxOu4wtbm0E1Lelsoe,https://api.spotify.com/v1/tracks/6yH7PxOu4wtbm0E1Lelsoe,https://api.spotify.com/v1/audio-analysis/6yH7PxOu4wtbm0E1Lelsoe,101286,3
0.779,0.633,0,-5.303,0,0.0317,0.499,1.41e-06,0.294,0.533,117.907,audio_features,6hZoLssqHZJxLbqPu5g30F,spotify:track:6hZoLssqHZJxLbqPu5g30F,https://api.spotify.com/v1/tracks/6hZoLssqHZJxLbqPu5g30F,https://api.spotify.com/v1/audio-analysis/6hZoLssqHZJxLbqPu5g30F,262395,4
