시·군·구별(1),시·군·구별(2),계(사회복지사),계(의사(계약의사포함)),계(간호사),계(간호조무사),계(치과위생사),계(물리(작업)치료사),계(요양보호사),계(영양사),계(사회복지사),재가(의사(계약의사포함)),재가(간호사),재가(간호조무사),재가(치과위생사),재가(물리(작업)치료사),재가(요양보호사),재가(영양사),시설(사회복지사),시설(계약의사포함),시설(간호사),시설(간호조무사),시설(치과위생사),시설(물리(작업)치료사),시설(요양보호사),시설(영양사)
강원,강릉시,223,24,41,98,-,15,2474,7,122,1,19,26,-,2,1712,-,101,23,22,85,-,14,777,7
강원,동해시,66,5,18,14,-,4,1046,3,50,1,11,3,-,-,878,-,16,4,7,11,-,4,168,3
강원,태백시,26,3,7,10,-,4,324,3,20,-,1,3,-,-,219,-,6,3,6,7,-,4,107,3
강원,속초시,67,2,13,20,-,6,727,1,50,-,3,9,-,2,554,-,17,2,10,11,-,4,176,1
강원,삼척시,58,4,5,17,-,5,880,3,43,1,4,5,-,-,775,-,15,4,1,12,-,5,109,3
강원,홍천군,45,5,5,31,-,4,659,3,30,-,3,2,-,-,457,-,16,5,2,29,-,4,207,3
강원,횡성군,46,6,10,25,-,1,532,1,32,1,6,12,-,-,373,-,14,6,4,17,-,1,170,1
강원,영월군,36,5,1,11,-,4,451,3,25,-,-,1,-,-,340,-,11,5,1,11,-,4,112,3
강원,평창군,18,2,2,13,-,2,406,1,15,-,1,5,-,-,350,-,3,2,1,10,-,2,66,1
강원,정선군,21,3,2,14,-,3,207,3,8,-,-,-,-,-,101,-,13,3,2,14,-,3,108,3
강원,철원군,32,2,1,17,-,3,477,2,24,-,-,6,-,-,405,-,8,2,1,11,-,3,79,2
강원,화천군,13,3,1,8,-,1,142,1,8,-,-,1,-,-,86,-,5,3,1,7,-,1,56,1
강원,양구군,12,4,-,8,-,3,140,2,5,-,-,3,-,1,71,-,7,4,-,7,-,3,69,2
강원,인제군,10,1,1,3,-,1,150,1,8,-,1,-,-,-,120,-,2,1,-,3,-,1,30,1
강원,고성군,17,-,3,9,-,3,181,3,11,-,-,4,-,-,103,-,6,-,3,6,-,3,78,3
강원,양양군,24,3,2,13,-,4,264,2,16,-,2,5,-,1,171,-,8,3,1,10,-,3,95,2
충북,소계,1192,120,120,627,1,100,15462,44,803,5,64,219,1,12,12013,-,391,117,62,441,-,94,3740,44
충북,청주시상당구,143,16,10,76,-,11,2272,4,103,-,4,33,-,4,1907,-,40,16,6,49,-,10,381,4
충북,청주시서원구,168,19,16,80,-,18,2766,8,123,-,9,39,-,3,2369,-,45,19,7,42,-,16,403,8
충북,청주시흥덕구,125,15,10,67,-,11,1766,5,90,-,2,36,-,1,1422,-,35,15,8,34,-,11,353,5
충북,청주시청원구,138,21,21,88,-,17,1755,7,91,-,14,38,-,-,1270,-,47,21,7,58,-,17,492,7
충북,충주시,134,21,14,85,1,11,2263,5,82,3,8,12,1,-,1719,-,53,20,8,75,-,11,611,5
충북,제천시,106,12,13,50,-,6,1316,3,74,1,8,13,-,-,1035,-,32,11,8,37,-,6,305,3
충북,보은군,36,3,-,14,-,3,558,3,28,-,-,2,-,-,466,-,8,3,-,12,-,3,102,3
충북,옥천군,53,6,5,22,-,3,1012,1,38,-,4,4,-,-,868,-,15,6,2,20,-,3,162,1
충북,영동군,69,12,5,27,-,3,757,-,46,-,2,6,-,-,584,-,23,12,3,24,-,3,187,-
충북,증평군,36,6,8,12,-,1,322,1,24,-,5,5,-,-,220,-,12,6,3,8,-,1,102,1
충북,진천군,57,7,6,30,-,4,481,-,35,-,2,15,-,2,331,-,22,7,4,15,-,2,150,-
충북,괴산군,39,4,1,17,-,2,524,1,25,-,-,4,-,-,421,-,14,4,1,15,-,2,112,1
충북,음성군,73,11,11,47,-,9,1035,5,40,-,6,12,-,1,755,-,33,11,5,38,-,8,300,5
충북,단양군,21,8,-,14,-,1,338,1,9,1,-,-,-,1,257,-,12,7,-,14,-,1,81,1
충남,소계,1647,147,140,772,-,121,23161,78,1211,7,83,311,-,11,19492,3,443,146,61,524,-,116,4106,75
충남,천안시동남구,128,22,18,84,-,19,2125,12,83,1,11,29,-,2,1657,-,47,22,8,60,-,18,498,12
충남,천안시서북구,154,14,15,72,-,6,2001,3,107,-,8,35,-,2,1685,-,47,14,9,44,-,4,335,3
충남,공주시,118,16,3,51,-,9,1769,6,85,-,-,12,-,1,1500,1,34,16,3,41,-,9,306,5
충남,보령시,81,8,12,33,-,5,1465,2,67,-,9,17,-,1,1322,-,14,8,3,19,-,5,149,2
충남,아산시,144,18,9,63,-,10,2306,7,99,1,5,25,-,1,1954,-,45,18,4,47,-,9,397,7
충남,서산시,147,12,9,62,-,15,2860,10,111,2,7,13,-,1,2521,1,36,11,2,52,-,14,410,9
충남,논산시,165,14,10,78,-,10,1939,4,122,1,4,37,-,2,1590,-,43,14,7,50,-,10,370,4
충남,계룡시,27,5,1,18,-,2,364,3,15,-,-,7,-,-,273,-,12,5,1,15,-,2,97,3
충남,당진시,159,11,20,76,-,13,1839,7,120,-,6,37,-,-,1488,1,39,11,14,41,-,13,362,6
충남,금산군,71,8,3,43,-,3,1147,2,55,-,3,22,-,-,1034,-,19,8,-,26,-,3,143,2
충남,부여군,97,10,5,52,-,10,1116,6,69,1,4,22,-,1,879,-,28,10,1,34,-,10,264,6
충남,서천군,75,6,4,23,-,4,1075,3,63,-,-,8,-,-,932,-,12,6,4,17,-,4,147,3
충남,청양군,34,4,1,13,-,3,439,2,24,-,-,6,-,-,353,-,10,4,1,9,-,3,88,2
충남,홍성군,110,6,9,45,-,5,1502,5,93,-,7,24,-,-,1332,-,17,6,2,22,-,5,179,5
충남,예산군,88,8,19,45,-,4,1541,4,63,1,17,16,-,-,1340,-,25,8,2,33,-,4,224,4
충남,태안군,52,7,2,17,-,3,821,2,37,-,2,2,-,-,717,-,15,7,-,15,-,3,138,2
전북,소계,1688,118,150,683,-,115,20992,65,1350,3,109,337,-,22,18172,4,342,118,42,395,-,98,3024,61
전북,전주시완산구,255,18,30,77,-,14,3881,6,212,1,28,42,-,7,3601,-,43,18,2,39,-,8,301,6
전북,전주시덕진구,169,14,13,62,-,11,2730,4,145,-,6,36,-,4,2487,-,24,14,7,29,-,8,247,4
전북,군산시,212,24,30,109,-,23,3185,12,160,1,19,53,-,4,2713,-,52,24,11,63,-,19,500,12
전북,익산시,313,14,21,137,-,17,3870,10,249,-,15,63,-,-,3340,-,66,14,6,80,-,17,573,10
전북,정읍시,140,11,6,60,-,7,1785,4,116,-,6,36,-,-,1621,1,24,11,-,30,-,7,177,3
전북,남원시,98,8,17,38,-,8,1183,7,80,-,12,16,-,-,978,1,18,8,5,24,-,8,213,6
전북,김제시,123,12,4,41,-,7,1383,4,97,1,2,24,-,4,1194,-,27,12,2,26,-,4,200,4
전북,완주군,86,12,15,47,-,11,967,5,62,-,11,17,-,1,711,-,24,12,4,32,-,11,259,5
전북,진안군,29,5,-,16,-,1,311,1,20,-,-,4,-,-,232,-,9,5,-,12,-,1,82,1
전북,무주군,25,3,1,14,-,2,480,1,17,-,1,5,-,-,410,-,8,3,-,9,-,2,81,1
전북,장수군,23,1,-,8,-,1,210,1,18,-,-,5,-,1,175,-,6,1,-,6,-,1,37,1
전북,임실군,39,4,1,16,-,2,581,1,32,-,-,8,-,-,515,-,7,4,1,11,-,2,67,1
전북,순창군,32,3,1,9,-,2,431,3,26,-,-,5,-,-,380,1,6,3,1,5,-,2,55,2
전북,고창군,73,4,5,19,-,2,832,3,63,-,3,9,-,-,746,1,10,4,2,11,-,2,93,2
전북,부안군,75,3,8,34,-,7,875,3,57,-,7,17,-,1,748,-,18,3,1,18,-,6,139,3
전남,소계,1638,166,131,644,6,115,21675,60,1240,4,82,264,6,19,18360,7,402,164,51,430,-,101,3559,53
전남,목포시,139,14,17,62,-,16,2562,7,105,-,14,20,-,4,2285,3,35,14,3,44,-,12,311,4
전남,여수시,187,22,17,62,-,12,3011,9,151,-,9,29,-,3,2698,-,37,22,8,35,-,9,337,9
전남,순천시,211,15,29,75,-,16,2696,5,154,1,19,36,-,3,2305,1,57,15,11,42,-,13,406,4
전남,나주시,95,16,12,41,-,6,1445,1,73,-,8,27,-,-,1247,-,22,16,4,21,-,6,221,1
전남,광양시,88,12,7,37,-,2,1127,2,69,1,4,23,-,-,987,-,19,12,3,22,-,2,148,2
전남,담양군,56,8,5,31,6,5,749,3,36,-,2,10,6,2,571,-,20,8,3,22,-,5,181,3
전남,곡성군,64,6,11,27,-,4,570,1,46,2,10,11,-,-,448,-,18,4,1,19,-,4,128,1
전남,구례군,38,3,-,20,-,3,524,1,32,-,-,11,-,1,437,-,6,3,-,11,-,2,95,1
전남,고흥군,101,12,9,39,-,8,1040,4,76,-,6,15,-,-,801,-,26,12,3,26,-,8,249,4
전남,보성군,35,6,-,13,-,2,528,2,30,-,-,6,-,-,470,-,5,6,-,9,-,2,63,2
전남,화순군,68,4,1,26,-,5,1224,1,49,-,-,9,-,2,1076,-,19,4,1,20,-,5,157,1
전남,장흥군,54,4,4,19,-,5,663,1,44,-,3,12,-,1,584,1,10,4,1,8,-,4,82,-
전남,강진군,57,6,5,20,-,1,576,2,47,-,4,11,-,-,514,1,11,6,1,9,-,1,67,1
전남,해남군,81,4,4,29,-,4,959,3,56,-,-,4,-,-,781,-,25,4,4,26,-,4,182,3
전남,영암군,53,7,2,16,-,3,820,3,43,-,2,5,-,1,713,-,10,7,1,13,-,3,117,3
전남,무안군,52,8,1,36,-,7,747,3,34,-,-,8,-,-,561,-,18,8,1,29,-,7,190,3
전남,함평군,53,8,-,20,-,3,490,2,35,-,-,7,-,-,360,-,18,8,-,15,-,3,140,2
전남,영광군,45,4,1,20,-,4,673,3,30,-,-,8,-,-,543,-,15,4,1,15,-,4,136,3
전남,장성군,56,4,2,16,-,4,780,3,48,-,-,6,-,2,686,1,8,4,2,11,-,2,96,2
전남,완도군,43,8,4,20,-,3,483,2,31,-,2,5,-,-,368,-,12,8,2,15,-,3,118,2
전남,진도군,40,2,1,8,-,1,473,1,34,-,-,4,-,-,430,-,6,2,1,5,-,1,49,1
전남,신안군,24,1,-,16,-,1,339,1,18,-,-,3,-,-,263,-,6,1,-,14,-,1,87,1
경북,소계,2176,192,202,880,-,169,30316,106,1651,11,94,427,-,29,25552,5,528,191,112,578,-,155,5079,101
경북,포항시남구,114,12,13,56,-,12,2411,5,88,-,8,35,-,3,2176,-,27,12,5,29,-,11,267,5
경북,포항시북구,154,10,10,44,-,8,3049,4,128,-,4,22,-,-,2806,-,26,10,6,28,-,8,252,4
경북,경주시,187,16,19,51,-,10,3485,7,160,2,13,29,-,1,3236,-,27,16,7,30,-,9,274,7
경북,김천시,152,16,13,62,-,8,1665,3,100,1,3,36,-,2,1292,-,52,16,11,50,-,8,397,3
경북,안동시,141,16,26,34,-,12,1978,11,120,-,14,14,-,-,1700,3,21,16,12,20,-,12,288,8
경북,구미시,218,17,47,116,-,19,2277,12,152,4,29,74,-,5,1733,1,67,16,20,66,-,15,562,11
경북,영주시,81,11,13,39,-,9,1202,7,52,-,3,13,-,-,883,-,29,11,10,29,-,9,325,7
경북,영천시,114,7,6,38,-,6,1802,2,99,-,2,24,-,1,1647,-,15,7,4,21,-,5,177,2
경북,상주시,148,14,6,56,-,9,1749,6,117,-,5,25,-,2,1471,-,31,14,1,31,-,7,298,6
경북,문경시,95,9,8,35,-,9,1506,4,70,1,-,10,-,2,1265,-,25,9,8,28,-,7,249,4
경북,경산시,215,16,12,115,-,17,3593,11,150,1,6,52,-,1,3058,-,65,16,6,83,-,16,567,11
